"Month","Year","Item","Export Value"
"November","2019","Dairy products",238.304
"November","2019","Cheese",100.592
"November","2019","Grains & feeds",1206.164
"November","2019","Grain products",872.29
"November","2019","Oilseeds & products",661.021
"November","2019","Vegetable oils",499.081
"November","2019","Fruits & preparations",1283.18
"November","2019","Fruits, fresh or frozen",1045.351
"November","2019","Fruits, prepared or preserved",237.829
"November","2019","Fruit juices",155.477
"November","2019","Vegetables & preparations",1256.909
"November","2019","Vegetables, fresh or frozen",966.769
"November","2019","Vegetables, prepared or preserved",274.335
"November","2019","Tree nuts & preparations",279.809
"November","2019","Cotton & linters",0.029
"November","2019","Wine",488.61
"November","2019","Malt beverages",441.49
"November","2019","Essential oils",251.015
"November","2019","Cut flowers & nursery stock",205.695
"November","2019","Sugar & related products",407.873
"November","2019","Confections",167.024
"November","2019","Cocoa & products",354.493
"November","2019","Coffee & products",437.217
"November","2019","Rubber, natural",145.492
"December","2019","Live animals",290.661
"December","2019","Red meats & products",739.769
"December","2019","Beef & veal",472.866
"December","2019","Pork",114.348
"December","2019","Dairy products",248.671
"December","2019","Cheese",94.794
"December","2019","Grains & feeds",1200.013
"December","2019","Grain products",820.527
"December","2019","Oilseeds & products",727.41
"December","2019","Vegetable oils",533.98
"December","2019","Fruits & preparations",1534.402
"December","2019","Fruits, fresh or frozen",1281.648
"December","2019","Fruits, prepared or preserved",252.754
"December","2019","Fruit juices",181.337
"December","2019","Vegetables & preparations",1386.046
"December","2019","Vegetables, fresh or frozen",1067.381
"December","2019","Vegetables, prepared or preserved",300.39
"December","2019","Tree nuts & preparations",293.767
"December","2019","Cotton & linters",0.245
"December","2019","Wine",442.434
"December","2019","Malt beverages",354.224
"December","2019","Essential oils",237.201
"December","2019","Cut flowers & nursery stock",159.174
"December","2019","Sugar & related products",364.255
"December","2019","Confections",158.251
"December","2019","Cocoa & products",404.581
"December","2019","Coffee & products",494.968
"December","2019","Rubber, natural",102.062
"January","2020","Live animals",260.503
"January","2020","Red meats & products",785.739
"January","2020","Beef & veal",521.232
"January","2020","Pork",115.101
"January","2020","Dairy products",246.232
"January","2020","Cheese",94.745
"January","2020","Grains & feeds",1177.242
"January","2020","Grain products",797.896
"January","2020","Oilseeds & products",692.617
"January","2020","Vegetable oils",497.579
"January","2020","Fruits & preparations",1869.632
"January","2020","Fruits, fresh or frozen",1596.448
"January","2020","Fruits, prepared or preserved",273.184
"January","2020","Fruit juices",162.887
"January","2020","Vegetables & preparations",1625.789
"January","2020","Vegetables, fresh or frozen",1307.706
"January","2020","Vegetables, prepared or preserved",294.416
"January","2020","Tree nuts & preparations",269.725
"January","2020","Cotton & linters",0.051
"January","2020","Wine",609.496
"January","2020","Malt beverages",443.588
"January","2020","Essential oils",218.848
"January","2020","Cut flowers & nursery stock",247.406
"January","2020","Sugar & related products",366.318
"January","2020","Confections",150.957
"January","2020","Cocoa & products",423.665
"January","2020","Coffee & products",492.632
"January","2020","Rubber, natural",103.599
"February","2020","Live animals",211.232
"February","2020","Red meats & products",699.323
"February","2020","Beef & veal",471.538
"February","2020","Pork",104.029
"February","2020","Dairy products",267.195
"February","2020","Cheese",119.854
"February","2020","Grains & feeds",1023.294
"February","2020","Grain products",721.084
"February","2020","Oilseeds & products",675.421
"February","2020","Vegetable oils",500.49
"February","2020","Fruits & preparations",1768.267
"February","2020","Fruits, fresh or frozen",1527.826
"February","2020","Fruits, prepared or preserved",240.441
"February","2020","Fruit juices",140.309
"February","2020","Vegetables & preparations",1452.53
"February","2020","Vegetables, fresh or frozen",1172.897
"February","2020","Vegetables, prepared or preserved",259.003
"February","2020","Tree nuts & preparations",206.998
"February","2020","Cotton & linters",0.121
"February","2020","Wine",488.561
"February","2020","Malt beverages",421.997
"February","2020","Essential oils",230.829
"February","2020","Cut flowers & nursery stock",227.346
"February","2020","Sugar & related products",365.639
"February","2020","Confections",147.214
"February","2020","Cocoa & products",478.816
"February","2020","Coffee & products",423.818
"February","2020","Rubber, natural",120.692
"March","2020","Live animals",236.925
"March","2020","Red meats & products",881.115
"March","2020","Beef & veal",585.925
"March","2020","Pork",114.375
"March","2020","Dairy products",242.516
"March","2020","Cheese",83.883
"March","2020","Grains & feeds",1249.653
"March","2020","Grain products",878.748
"March","2020","Oilseeds & products",864.061
"March","2020","Vegetable oils",630.44
"March","2020","Fruits & preparations",1930.671
"March","2020","Fruits, fresh or frozen",1654.287
"March","2020","Fruits, prepared or preserved",276.384
"March","2020","Fruit juices",160.492
"March","2020","Vegetables & preparations",1606.815
"March","2020","Vegetables, fresh or frozen",1253.502
"March","2020","Vegetables, prepared or preserved",318.731
"March","2020","Tree nuts & preparations",225.29
"March","2020","Cotton & linters",0.025
"March","2020","Wine",466.019
"March","2020","Malt beverages",498.48
"March","2020","Essential oils",216.218
"March","2020","Cut flowers & nursery stock",135.849
"March","2020","Sugar & related products",453.226
"March","2020","Confections",163.675
"March","2020","Cocoa & products",529.617
"March","2020","Coffee & products",543.353
"March","2020","Rubber, natural",127.659
"April","2020","Live animals",196.808
"April","2020","Red meats & products",738.564
"April","2020","Beef & veal",510.579
"April","2020","Pork",92.35
"April","2020","Dairy products",247.549
"April","2020","Cheese",77.922
"April","2020","Grains & feeds",1201.219
"April","2020","Grain products",766.624
"April","2020","Oilseeds & products",775.999
"April","2020","Vegetable oils",578.658
"April","2020","Fruits & preparations",1554.194
"April","2020","Fruits, fresh or frozen",1277.487
"April","2020","Fruits, prepared or preserved",276.706
"April","2020","Fruit juices",180.177
"April","2020","Vegetables & preparations",1330.095
"April","2020","Vegetables, fresh or frozen",964.927
"April","2020","Vegetables, prepared or preserved",333.345
"April","2020","Tree nuts & preparations",234.355
"April","2020","Cotton & linters",0.012
"April","2020","Wine",443.567
"April","2020","Malt beverages",426.211
"April","2020","Essential oils",258.344
"April","2020","Cut flowers & nursery stock",192.115
"April","2020","Sugar & related products",543.803
"April","2020","Confections",153.798
"April","2020","Cocoa & products",444.455
"April","2020","Coffee & products",545.733
"April","2020","Rubber, natural",145.805
"May","2020","Live animals",195.464
"May","2020","Red meats & products",861.77
"May","2020","Beef & veal",615.048
"May","2020","Pork",130.164
"May","2020","Dairy products",281.122
"May","2020","Cheese",74.509
"May","2020","Grains & feeds",1205.415
"May","2020","Grain products",821.007
"May","2020","Oilseeds & products",749.603
"May","2020","Vegetable oils",552.419
"May","2020","Fruits & preparations",1522.248
"May","2020","Fruits, fresh or frozen",1241.756
"May","2020","Fruits, prepared or preserved",280.492
"May","2020","Fruit juices",156.865
"May","2020","Vegetables & preparations",1380.15
"May","2020","Vegetables, fresh or frozen",1036.893
"May","2020","Vegetables, prepared or preserved",315.62
"May","2020","Tree nuts & preparations",250.937
"May","2020","Cotton & linters",0.331
"May","2020","Wine",442.2
"May","2020","Malt beverages",316.655
"May","2020","Essential oils",280.701
"May","2020","Cut flowers & nursery stock",206.502
"May","2020","Sugar & related products",456.672
"May","2020","Confections",136.933
"May","2020","Cocoa & products",376.305
"May","2020","Coffee & products",570.457
"May","2020","Rubber, natural",132.273
"June","2020","Live animals",208.135
"June","2020","Red meats & products",866.682
"June","2020","Beef & veal",643.547
"June","2020","Pork",120.942
"June","2020","Dairy products",277.312
"June","2020","Cheese",74.349
"June","2020","Grains & feeds",1270.508
"June","2020","Grain products",869.478
"June","2020","Oilseeds & products",801.89
"June","2020","Vegetable oils",604.553
"June","2020","Fruits & preparations",1609.354
"June","2020","Fruits, fresh or frozen",1346.832
"June","2020","Fruits, prepared or preserved",262.523
"June","2020","Fruit juices",129.029
"June","2020","Vegetables & preparations",1290.695
"June","2020","Vegetables, fresh or frozen",960.716
"June","2020","Vegetables, prepared or preserved",301.269
"June","2020","Tree nuts & preparations",212.43
"June","2020","Cotton & linters",0.29
"June","2020","Wine",403.683
"June","2020","Malt beverages",448.089
"June","2020","Essential oils",205.933
"June","2020","Cut flowers & nursery stock",131.533
"June","2020","Sugar & related products",431.477
"June","2020","Confections",155.577
"June","2020","Cocoa & products",401.925
"June","2020","Coffee & products",602.91
"June","2020","Rubber, natural",65.276
"July","2020","Live animals",179.699
"July","2020","Red meats & products",956.428
"July","2020","Beef & veal",727.184
"July","2020","Pork",113.444
"July","2020","Dairy products",289.347
"July","2020","Cheese",90.809
"July","2020","Grains & feeds",1290.634
"July","2020","Grain products",885.62
"July","2020","Oilseeds & products",778.567
"July","2020","Vegetable oils",578.324
"July","2020","Fruits & preparations",1222.476
"July","2020","Fruits, fresh or frozen",945.579
"July","2020","Fruits, prepared or preserved",276.897
"July","2020","Fruit juices",137.563
"July","2020","Vegetables & preparations",1282.295
"July","2020","Vegetables, fresh or frozen",943.05
"July","2020","Vegetables, prepared or preserved",311.157
"July","2020","Tree nuts & preparations",216.245
"July","2020","Cotton & linters",0.037
"July","2020","Wine",426.128
"July","2020","Malt beverages",559.461
"July","2020","Essential oils",312.576
"July","2020","Cut flowers & nursery stock",146.039
"July","2020","Sugar & related products",430.706
"July","2020","Confections",160.44
"July","2020","Cocoa & products",385.151
"July","2020","Coffee & products",510.689
"July","2020","Rubber, natural",61.087
"August","2020","Live animals",157.594
"August","2020","Red meats & products",911.713
"August","2020","Beef & veal",674.282
"August","2020","Pork",129.415
"August","2020","Dairy products",277.057
"August","2020","Cheese",115.2
"August","2020","Grains & feeds",1323.221
"August","2020","Grain products",944.25
"August","2020","Oilseeds & products",759.486
"August","2020","Vegetable oils",591.263
"August","2020","Fruits & preparations",1311.633
"August","2020","Fruits, fresh or frozen",1024.749
"August","2020","Fruits, prepared or preserved",286.884
"August","2020","Fruit juices",122.312
"August","2020","Vegetables & preparations",1234.854
"August","2020","Vegetables, fresh or frozen",885.227
"August","2020","Vegetables, prepared or preserved",328.862
"August","2020","Tree nuts & preparations",205.644
"August","2020","Cotton & linters",0.045
"August","2020","Wine",571.36
"August","2020","Malt beverages",570.47
"August","2020","Essential oils",239.644
"August","2020","Cut flowers & nursery stock",155.445
"August","2020","Sugar & related products",420.44
"August","2020","Confections",164.081
"August","2020","Cocoa & products",385.686
"August","2020","Coffee & products",454.113
"August","2020","Rubber, natural",71.888
"September","2020","Live animals",190.117
"September","2020","Red meats & products",830.506
"September","2020","Beef & veal",592.365
"September","2020","Pork",125.823
"September","2020","Dairy products",278.872
"September","2020","Cheese",107.585
"September","2020","Grains & feeds",1328.259
"September","2020","Grain products",973.414
"September","2020","Oilseeds & products",699.271
"September","2020","Vegetable oils",513.353
"September","2020","Fruits & preparations",1307.28
"September","2020","Fruits, fresh or frozen",1026.98
"September","2020","Fruits, prepared or preserved",280.3
"September","2020","Fruit juices",140.495
"September","2020","Vegetables & preparations",1264.114
"September","2020","Vegetables, fresh or frozen",925.146
"September","2020","Vegetables, prepared or preserved",316.673
"September","2020","Tree nuts & preparations",231.694
"September","2020","Cotton & linters",0.028
"September","2020","Wine",442.542
"September","2020","Malt beverages",539.053
"September","2020","Essential oils",237.24
"September","2020","Cut flowers & nursery stock",179.11
"September","2020","Sugar & related products",467.004
"September","2020","Confections",168.655
"September","2020","Cocoa & products",424.851
"September","2020","Coffee & products",435.655
"September","2020","Rubber, natural",79.419
"October","2020","Live animals",274.258
"October","2020","Red meats & products",781.99
"October","2020","Beef & veal",519.074
"October","2020","Pork",147.183
"October","2020","Dairy products",260.759
"October","2020","Cheese",114.676
"October","2020","Grains & feeds",1437.383
"October","2020","Grain products",1043.378
"October","2020","Oilseeds & products",728.778
"October","2020","Vegetable oils",523.499
"October","2020","Fruits & preparations",1482.12
"October","2020","Fruits, fresh or frozen",1189.824
"October","2020","Fruits, prepared or preserved",292.296
"October","2020","Fruit juices",156.342
"October","2020","Vegetables & preparations",1418.923
"October","2020","Vegetables, fresh or frozen",1051.591
"October","2020","Vegetables, prepared or preserved",341.407
"October","2020","Tree nuts & preparations",248.621
"October","2020","Cotton & linters",0.068
"October","2020","Wine",527.855
"October","2020","Malt beverages",556.167
"October","2020","Essential oils",217.717
"October","2020","Cut flowers & nursery stock",190.839
"October","2020","Sugar & related products",464.123
"October","2020","Confections",182.118
"October","2020","Cocoa & products",414.409
"October","2020","Coffee & products",478.945
"October","2020","Rubber, natural",71.009
"November","2020","Live animals",283.606
"November","2020","Red meats & products",777.232
"November","2020","Beef & veal",501.273
"November","2020","Pork",147.816
"November","2020","Dairy products",274.784
"November","2020","Cheese",122.42
"November","2020","Grains & feeds",1336.456
"November","2020","Grain products",989.544
"November","2020","Oilseeds & products",755.273
"November","2020","Vegetable oils",545.165
"November","2020","Fruits & preparations",1407.043
"November","2020","Fruits, fresh or frozen",1142.713
"November","2020","Fruits, prepared or preserved",264.33
"November","2020","Fruit juices",156.677
"November","2020","Vegetables & preparations",1466.038
"November","2020","Vegetables, fresh or frozen",1092.428
"November","2020","Vegetables, prepared or preserved",349.183
"November","2020","Tree nuts & preparations",235.907
"November","2020","Cotton & linters",0
"November","2020","Wine",541.751
"November","2020","Malt beverages",567.868
"November","2020","Essential oils",247.115
"November","2020","Cut flowers & nursery stock",232.591
"November","2020","Sugar & related products",400.657
"November","2020","Confections",173.787
"November","2020","Cocoa & products",384.059
"November","2020","Coffee & products",448.022
"November","2020","Rubber, natural",108.258
