"Month","Year","Item","Export Volume"
"August","2020","Fruits, prepared or preserved",44.2276
"August","2020","Fruit juices",40.7638
"August","2020","Vegetables, fresh",178.6175
"August","2020","Vegetables, prepared or preserved",247.5664
"August","2020","Nuts & preparations",117.6625
"August","2020","Cotton & linters",312.0686
"August","2020","Major bulk",12644.8392
"September","2020","Red meats & products",414.8052
"September","2020","Poultry meats",306.1519
"September","2020","Nonfat dry milk",64.2247
"September","2020","Wheat",2684.792
"September","2020","Rice",137.815
"September","2020","Coarse grains",4285.0256
"September","2020","Corn",3803.046
"September","2020","Sorghum",465.998
"September","2020","Soybeans",7780.2424
"September","2020","Oil meal",972.3089
"September","2020","Vegetable oils",217.2691
"September","2020","Fruits, fresh",182.3451
"September","2020","Fruits, prepared or preserved",47.657
"September","2020","Fruit juices",42.0585
"September","2020","Vegetables, fresh",160.2418
"September","2020","Vegetables, prepared or preserved",252.5185
"September","2020","Nuts & preparations",159.6157
"September","2020","Cotton & linters",202.4992
"September","2020","Major bulk",15095.8006
"October","2020","Red meats & products",445.4169
"October","2020","Poultry meats",349.8576
"October","2020","Nonfat dry milk",79.8292
"October","2020","Wheat",1740.694
"October","2020","Rice",275.5928
"October","2020","Coarse grains",3952.6634
"October","2020","Corn",3683.901
"October","2020","Sorghum",247.041
"October","2020","Soybeans",11439.7754
"October","2020","Oil meal",1004.787
"October","2020","Vegetable oils",211.7872
"October","2020","Fruits, fresh",197.8336
"October","2020","Fruits, prepared or preserved",51.4098
"October","2020","Fruit juices",40.9959
"October","2020","Vegetables, fresh",200.0662
"October","2020","Vegetables, prepared or preserved",278.6398
"October","2020","Nuts & preparations",244.37
"October","2020","Cotton & linters",260.976
"October","2020","Major bulk",17674.1951
"November","2020","Red meats & products",472.6811
"November","2020","Poultry meats",323.5367
"November","2020","Nonfat dry milk",65.8175
"November","2020","Wheat",1892.51
"November","2020","Rice",401.8499
"November","2020","Coarse grains",4728.9623
"November","2020","Corn",3822.421
"November","2020","Sorghum",877.546
"November","2020","Soybeans",11096.4516
"November","2020","Oil meal",1178.7736
"November","2020","Vegetable oils",238.5049
"November","2020","Fruits, fresh",225.761
"November","2020","Fruits, prepared or preserved",48.1803
"November","2020","Fruit juices",40.5151
"November","2020","Vegetables, fresh",188.3964
"November","2020","Vegetables, prepared or preserved",255.4539
"November","2020","Nuts & preparations",246.9643
"November","2020","Cotton & linters",291.1806
"November","2020","Major bulk",18415.5931
