"Item","Month","Import_Value"
"Coffee & products","april",519.159
"Coffee & products","may",600.52
"Coffee & products","june",531.573
"Coffee & products","july",555.169
"Coffee & products","august",545.794
"Coffee & products","september",481.622
"Coffee & products","october",471.826
"Coffee & products","november",437.217
"Coffee & products","december",494.968
"Rubber, natural","january",145.631
"Rubber, natural","february",90.25
"Rubber, natural","march",142.909
"Rubber, natural","april",132.012
"Rubber, natural","may",128.019
"Rubber, natural","june",137.913
"Rubber, natural","july",104.231
"Rubber, natural","august",154.056
"Rubber, natural","september",127.167
"Rubber, natural","october",113.768
"Rubber, natural","november",145.492
"Rubber, natural","december",102.062
