"Month","Year","Item","Export Value"
"December","2019","Poultry meats & products",383.329
"December","2019","Dairy products",521.86
"December","2019","Hides & skins",80.684
"December","2019","Grains & feeds",2241.015
"December","2019","Wheat",504.406
"December","2019","Rice",202.407
"December","2019","Corn",460.776
"December","2019","Other grain products",390.294
"December","2019","Animal feeds & oil meal",961.628
"December","2019","Soybeans",2017.288
"December","2019","Other oilseeds",143.274
"December","2019","Vegetable oils",225.172
"December","2019","Fruits & products",419.709
"December","2019","Fruits, fresh",303.472
"December","2019","Fruits, prepared or preserved",116.237
"December","2019","Fruit juices",63.653
"December","2019","Vegetables & products",584.792
"December","2019","Vegetables, fresh",223.009
"December","2019","Vegetables, prepared or preserved",361.782
"December","2019","Tree nuts & preparations",902.084
"December","2019","Wine",112.191
"December","2019","Cotton & linters",464.236
"December","2019","Tobacco, unmanufactured",67.765
"December","2019","Sugar & tropical products",371.669
"January","2020","Live animals",79.178
"January","2020","Red meats & products",1460.65
"January","2020","Poultry meats & products",407.645
"January","2020","Dairy products",553.229
"January","2020","Hides & skins",87.635
"January","2020","Grains & feeds",2121.421
"January","2020","Wheat",444.29
"January","2020","Rice",136.583
"January","2020","Corn",457.039
"January","2020","Other grain products",389.4
"January","2020","Animal feeds & oil meal",995.417
"January","2020","Soybeans",1947.992
"January","2020","Other oilseeds",137.984
"January","2020","Vegetable oils",203.732
"January","2020","Fruits & products",364.355
"January","2020","Fruits, fresh",243.407
"January","2020","Fruits, prepared or preserved",120.948
"January","2020","Fruit juices",57.502
"January","2020","Vegetables & products",575.529
"January","2020","Vegetables, fresh",224.458
"January","2020","Vegetables, prepared or preserved",351.071
"January","2020","Tree nuts & preparations",775.784
"January","2020","Wine",88.653
"January","2020","Cotton & linters",601.337
"January","2020","Tobacco, unmanufactured",62.527
"January","2020","Sugar & tropical products",362.367
"February","2020","Live animals",65.712
"February","2020","Red meats & products",1456.243
"February","2020","Poultry meats & products",407.881
"February","2020","Dairy products",529.55
"February","2020","Hides & skins",86.945
"February","2020","Grains & feeds",2512.895
"February","2020","Wheat",540.801
"February","2020","Rice",174.264
"February","2020","Corn",724.018
"February","2020","Other grain products",395.249
"February","2020","Animal feeds & oil meal",1054.033
"February","2020","Soybeans",1001.191
"February","2020","Other oilseeds",135.376
"February","2020","Vegetable oils",307.925
"February","2020","Fruits & products",439.494
"February","2020","Fruits, fresh",311.622
"February","2020","Fruits, prepared or preserved",127.872
"February","2020","Fruit juices",64.906
"February","2020","Vegetables & products",550.878
"February","2020","Vegetables, fresh",209.07
"February","2020","Vegetables, prepared or preserved",341.808
"February","2020","Tree nuts & preparations",849.249
"February","2020","Wine",99.187
"February","2020","Cotton & linters",707.485
"February","2020","Tobacco, unmanufactured",58.215
"February","2020","Sugar & tropical products",368.479
"March","2020","Live animals",50.594
"March","2020","Red meats & products",1525.406
"March","2020","Poultry meats & products",461.027
"March","2020","Dairy products",589.891
"March","2020","Hides & skins",79.953
"March","2020","Grains & feeds",2669.726
"March","2020","Wheat",438.959
"March","2020","Rice",153.751
"March","2020","Corn",861.759
"March","2020","Other grain products",424.087
"March","2020","Animal feeds & oil meal",1119.066
"March","2020","Soybeans",938.408
"March","2020","Other oilseeds",148.395
"March","2020","Vegetable oils",269.927
"March","2020","Fruits & products",488.765
"March","2020","Fruits, fresh",351.108
"March","2020","Fruits, prepared or preserved",137.657
"March","2020","Fruit juices",75.866
"March","2020","Vegetables & products",613.951
"March","2020","Vegetables, fresh",227.305
"March","2020","Vegetables, prepared or preserved",386.646
"March","2020","Tree nuts & preparations",841.255
"March","2020","Wine",97.243
"March","2020","Cotton & linters",713.75
"March","2020","Tobacco, unmanufactured",88.487
"March","2020","Sugar & tropical products",394.904
"April","2020","Live animals",47.457
"April","2020","Red meats & products",1335.205
"April","2020","Poultry meats & products",409.194
"April","2020","Dairy products",517.49
"April","2020","Hides & skins",65.659
"April","2020","Grains & feeds",2872.672
"April","2020","Wheat",574.146
"April","2020","Rice",191.208
"April","2020","Corn",879.827
"April","2020","Other grain products",371.108
"April","2020","Animal feeds & oil meal",1101.039
"April","2020","Soybeans",777.712
"April","2020","Other oilseeds",159.371
"April","2020","Vegetable oils",266.785
"April","2020","Fruits & products",383.479
"April","2020","Fruits, fresh",261.277
"April","2020","Fruits, prepared or preserved",122.202
"April","2020","Fruit juices",65.148
"April","2020","Vegetables & products",555.594
"April","2020","Vegetables, fresh",207.718
"April","2020","Vegetables, prepared or preserved",347.876
"April","2020","Tree nuts & preparations",634.515
"April","2020","Wine",100.937
"April","2020","Cotton & linters",437.798
"April","2020","Tobacco, unmanufactured",42.595
"April","2020","Sugar & tropical products",330.875
"May","2020","Live animals",42.067
"May","2020","Red meats & products",1156.454
"May","2020","Poultry meats & products",377.67
"May","2020","Dairy products",581.669
"May","2020","Hides & skins",52.271
"May","2020","Grains & feeds",2912.867
"May","2020","Wheat",559.282
"May","2020","Rice",194.814
"May","2020","Corn",965.252
"May","2020","Other grain products",364.466
"May","2020","Animal feeds & oil meal",1023.136
"May","2020","Soybeans",702.161
"May","2020","Other oilseeds",161.713
"May","2020","Vegetable oils",282.661
"May","2020","Fruits & products",490.134
"May","2020","Fruits, fresh",366.814
"May","2020","Fruits, prepared or preserved",123.319
"May","2020","Fruit juices",64.169
"May","2020","Vegetables & products",576.557
"May","2020","Vegetables, fresh",240.844
"May","2020","Vegetables, prepared or preserved",335.713
"May","2020","Tree nuts & preparations",555.683
"May","2020","Wine",88.523
"May","2020","Cotton & linters",406.991
"May","2020","Tobacco, unmanufactured",74.097
"May","2020","Sugar & tropical products",316.258
"June","2020","Live animals",41.233
"June","2020","Red meats & products",1073.024
"June","2020","Poultry meats & products",349.829
"June","2020","Dairy products",579.267
"June","2020","Hides & skins",65.462
"June","2020","Grains & feeds",2706.696
"June","2020","Wheat",522.886
"June","2020","Rice",138.176
"June","2020","Corn",849.471
"June","2020","Other grain products",388.755
"June","2020","Animal feeds & oil meal",1052.404
"June","2020","Soybeans",644.046
"June","2020","Other oilseeds",141.242
"June","2020","Vegetable oils",224.17
"June","2020","Fruits & products",559.845
"June","2020","Fruits, fresh",442.376
"June","2020","Fruits, prepared or preserved",117.469
"June","2020","Fruit juices",65.421
"June","2020","Vegetables & products",546.06
"June","2020","Vegetables, fresh",228.321
"June","2020","Vegetables, prepared or preserved",317.738
"June","2020","Tree nuts & preparations",540.608
"June","2020","Wine",88.231
"June","2020","Cotton & linters",469.132
"June","2020","Tobacco, unmanufactured",42.344
"June","2020","Sugar & tropical products",333.636
"July","2020","Live animals",54.346
"July","2020","Red meats & products",1270.061
"July","2020","Poultry meats & products",382.19
"July","2020","Dairy products",549.365
"July","2020","Hides & skins",71.666
"July","2020","Grains & feeds",2558.812
"July","2020","Wheat",549.647
"July","2020","Rice",127.647
"July","2020","Corn",718.23
"July","2020","Other grain products",404.95
"July","2020","Animal feeds & oil meal",1036.303
"July","2020","Soybeans",792.699
"July","2020","Other oilseeds",124.938
"July","2020","Vegetable oils",207.413
"July","2020","Fruits & products",665.162
"July","2020","Fruits, fresh",539.659
"July","2020","Fruits, prepared or preserved",125.503
"July","2020","Fruit juices",62.76
"July","2020","Vegetables & products",537.235
"July","2020","Vegetables, fresh",222.542
"July","2020","Vegetables, prepared or preserved",314.693
"July","2020","Tree nuts & preparations",514.775
"July","2020","Wine",109.614
"July","2020","Cotton & linters",513.737
"July","2020","Tobacco, unmanufactured",52.572
"July","2020","Sugar & tropical products",353.883
"August","2020","Live animals",65.519
"August","2020","Red meats & products",1272.649
"August","2020","Poultry meats & products",394.635
"August","2020","Dairy products",545.445
"August","2020","Hides & skins",61.907
"August","2020","Grains & feeds",2622.68
"August","2020","Wheat",582.48
"August","2020","Rice",101.481
"August","2020","Corn",751.709
"August","2020","Other grain products",402.177
"August","2020","Animal feeds & oil meal",1020.568
"August","2020","Soybeans",1645.032
"August","2020","Other oilseeds",131.416
"August","2020","Vegetable oils",267.885
"August","2020","Fruits & products",505.901
"August","2020","Fruits, fresh",386.576
"August","2020","Fruits, prepared or preserved",119.326
"August","2020","Fruit juices",59.214
"August","2020","Vegetables & products",537.392
"August","2020","Vegetables, fresh",189.191
"August","2020","Vegetables, prepared or preserved",348.201
"August","2020","Tree nuts & preparations",497.49
"August","2020","Wine",113.783
"August","2020","Cotton & linters",454.768
"August","2020","Tobacco, unmanufactured",76.577
"August","2020","Sugar & tropical products",378.605
"September","2020","Live animals",77.137
"September","2020","Red meats & products",1235.007
"September","2020","Poultry meats & products",397.225
"September","2020","Dairy products",512.411
"September","2020","Hides & skins",56.001
"September","2020","Grains & feeds",2554.176
"September","2020","Wheat",626.645
"September","2020","Rice",93.189
"September","2020","Corn",657.675
"September","2020","Other grain products",410.441
"September","2020","Animal feeds & oil meal",1010.503
"September","2020","Soybeans",2941.097
"September","2020","Other oilseeds",126.198
"September","2020","Vegetable oils",243.031
"September","2020","Fruits & products",468.54
"September","2020","Fruits, fresh",339.212
"September","2020","Fruits, prepared or preserved",129.328
"September","2020","Fruit juices",60.566
"September","2020","Vegetables & products",534.883
"September","2020","Vegetables, fresh",175.249
"September","2020","Vegetables, prepared or preserved",359.634
"September","2020","Tree nuts & preparations",657.842
"September","2020","Wine",103.467
"September","2020","Cotton & linters",298.653
"September","2020","Tobacco, unmanufactured",38.64
"September","2020","Sugar & tropical products",396.759
"October","2020","Live animals",100.937
"October","2020","Red meats & products",1359.596
"October","2020","Poultry meats & products",446.664
"October","2020","Dairy products",559.567
"October","2020","Hides & skins",63.828
"October","2020","Grains & feeds",2446.259
"October","2020","Wheat",442.986
"October","2020","Rice",143.051
"October","2020","Corn",665.883
"October","2020","Other grain products",428.706
"October","2020","Animal feeds & oil meal",1087.503
"October","2020","Soybeans",4814.046
"October","2020","Other oilseeds",145.432
"October","2020","Vegetable oils",256.365
"October","2020","Fruits & products",512.779
"October","2020","Fruits, fresh",367.742
"October","2020","Fruits, prepared or preserved",145.037
"October","2020","Fruit juices",60.717
"October","2020","Vegetables & products",625.036
"October","2020","Vegetables, fresh",223.528
"October","2020","Vegetables, prepared or preserved",401.509
"October","2020","Tree nuts & preparations",1050.628
"October","2020","Wine",127.443
"October","2020","Cotton & linters",399.582
"October","2020","Tobacco, unmanufactured",35.384
"October","2020","Sugar & tropical products",424.561
"November","2020","Live animals",95.098
"November","2020","Red meats & products",1473.852
"November","2020","Poultry meats & products",430.843
"November","2020","Dairy products",507.52
"November","2020","Hides & skins",62.786
"November","2020","Grains & feeds",2719.502
"November","2020","Wheat",489.673
"November","2020","Rice",193.177
"November","2020","Corn",737.74
"November","2020","Other grain products",404.504
"November","2020","Animal feeds & oil meal",1157.942
"November","2020","Soybeans",4698.838
"November","2020","Other oilseeds",132.663
"November","2020","Vegetable oils",282.44
"November","2020","Fruits & products",525.905
"November","2020","Fruits, fresh",386.577
"November","2020","Fruits, prepared or preserved",139.328
"November","2020","Fruit juices",60.487
"November","2020","Vegetables & products",605.232
"November","2020","Vegetables, fresh",223.348
"November","2020","Vegetables, prepared or preserved",381.884
"November","2020","Tree nuts & preparations",1076.063
"November","2020","Wine",122.5
"November","2020","Cotton & linters",472.422
"November","2020","Tobacco, unmanufactured",46.974
"November","2020","Sugar & tropical products",389.56
