"Month","Year","Export Country","Export Values","Commodity"
"June","2020","Egypt",334054,"Soybeans"
"June","2020","Japan",107785.4,"Soybeans"
"June","2020","Indonesia",135873,"Soybeans"
"June","2020","Taiwan",35088.2,"Soybeans"
"June","2020","Bangladesh",172776,"Soybeans"
"June","2020","Thailand",30773.6,"Soybeans"
"June","2020","Pakistan",0,"Soybeans"
"June","2020","World total",1799195.9,"Soybeans"
"July","2020","China",445573,"Soybeans"
"July","2020","Mexico",428778,"Soybeans"
"July","2020","EU27+UK  2/",289506.3,"Soybeans"
"July","2020","Egypt",218821,"Soybeans"
"July","2020","Japan",71608,"Soybeans"
"July","2020","Indonesia",239313,"Soybeans"
"July","2020","Taiwan",19892.8,"Soybeans"
"July","2020","Bangladesh",111224,"Soybeans"
"July","2020","Thailand",26448,"Soybeans"
"July","2020","Pakistan",58329,"Soybeans"
"July","2020","World total",2216191.1,"Soybeans"
"August","2020","China",2450315,"Soybeans"
"August","2020","EU27+UK",839777,"Soybeans"
"August","2020","Mexico",326159,"Soybeans"
"August","2020","Egypt",156395,"Soybeans"
"August","2020","Japan",163736.3,"Soybeans"
"August","2020","Indonesia",173924,"Soybeans"
"August","2020","Taiwan",62851.5,"Soybeans"
"August","2020","Bangladesh",58480,"Soybeans"
"August","2020","Thailand",27354.3,"Soybeans"
"August","2020","Pakistan",0,"Soybeans"
"August","2020","World total",4550760.1,"Soybeans"
"September","2020","China",5068131,"Soybeans"
"September","2020","EU27+UK",522885,"Soybeans"
"September","2020","Mexico",496386.1,"Soybeans"
"September","2020","Egypt",403649,"Soybeans"
"September","2020","Japan",189024.6,"Soybeans"
"September","2020","Indonesia",176736,"Soybeans"
"September","2020","Taiwan",67323.8,"Soybeans"
"September","2020","Bangladesh",52882,"Soybeans"
"September","2020","Thailand",38186.3,"Soybeans"
"September","2020","Pakistan",195566,"Soybeans"
"September","2020","World total",7780242.4,"Soybeans"
"October","2020","China",8352777.6,"Soybeans"
"October","2020","Mexico",521839.1,"Soybeans"
"October","2020","EU27+UK",724644.1,"Soybeans"
"October","2020","Egypt",203400,"Soybeans"
"October","2020","Japan",190085.8,"Soybeans"
"October","2020","Indonesia",200707,"Soybeans"
"October","2020","Bangladesh",157565,"Soybeans"
"October","2020","Taiwan",155624.2,"Soybeans"
"October","2020","Thailand",273869.2,"Soybeans"
"October","2020","Vietnam",49843,"Soybeans"
"October","2020","World total",11439775.4,"Soybeans"
"November","2020","China",7802279.9,"Soybeans"
"November","2020","Mexico",460748.4,"Soybeans"
"November","2020","EU27+UK",574524.2,"Soybeans"
"November","2020","Egypt",424542,"Soybeans"
"November","2020","Japan",144278,"Soybeans"
"November","2020","Indonesia",195079,"Soybeans"
"November","2020","Taiwan",291458.4,"Soybeans"
"November","2020","Bangladesh",54435,"Soybeans"
"November","2020","Thailand",301875,"Soybeans"
"November","2020","Vietnam",212827.7,"Soybeans"
"November","2020","World total",11096451.6,"Soybeans"
"December","2020","China",6824014,"Soybeans"
"December","2020","EU27+UK",690414.2,"Soybeans"
"December","2020","Mexico",436313,"Soybeans"
"December","2020","Egypt",532558,"Soybeans"
"December","2020","Japan",371884.6,"Soybeans"
"December","2020","Indonesia",273659,"Soybeans"
"December","2020","Taiwan",241363.8,"Soybeans"
"December","2020","Thailand",253907,"Soybeans"
"December","2020","Bangladesh",170911,"Soybeans"
"December","2020","Vietnam",145131.2,"Soybeans"
"December","2020","World total",10817691.5,"Soybeans"
"October","2019","Mexico",339172,"Wheat, Unmilled"
"October","2019","Philippines",194907,"Wheat, Unmilled"
"October","2019","Japan",352301,"Wheat, Unmilled"
"October","2019","Nigeria",92738,"Wheat, Unmilled"
"October","2019","Indonesia",53760,"Wheat, Unmilled"
"October","2019","Taiwan",180258,"Wheat, Unmilled"
"October","2019","Korea, South",122765,"Wheat, Unmilled"
"October","2019","Egypt",0,"Wheat, Unmilled"
"October","2019","Yemen(*)",69800,"Wheat, Unmilled"
"October","2019","Algeria",0,"Wheat, Unmilled"
"October","2019","World Total",2142902,"Wheat, Unmilled"
"November","2019","Mexico",1165195,"Wheat, Unmilled"
"November","2019","Japan",317191,"Wheat, Unmilled"
"November","2019","Colombia",442057,"Wheat, Unmilled"
"November","2019","Canada",75250,"Wheat, Unmilled"
"November","2019","South Korea",1919,"Wheat, Unmilled"
"November","2019","Taiwan",46757,"Wheat, Unmilled"
"November","2019","Peru",0,"Wheat, Unmilled"
"November","2019","Guatemala",101728,"Wheat, Unmilled"
"November","2019","Costa Rica",62736,"Wheat, Unmilled"
"November","2019","Honduras",72849,"Wheat, Unmilled"
"November","2019","World total",2473759,"Wheat, Unmilled"
"December","2019","Mexico",1124548,"Wheat, Unmilled"
"December","2019","Japan",537206,"Wheat, Unmilled"
"December","2019","Colombia",310625,"Wheat, Unmilled"
"December","2019","Canada",136121,"Wheat, Unmilled"
"December","2019","South Korea",4446,"Wheat, Unmilled"
"December","2019","Taiwan",41745,"Wheat, Unmilled"
"December","2019","Peru",0,"Wheat, Unmilled"
"December","2019","Guatemala",63206,"Wheat, Unmilled"
"December","2019","Costa Rica",37348,"Wheat, Unmilled"
"December","2019","Honduras",32593,"Wheat, Unmilled"
"December","2019","World total",2508110,"Wheat, Unmilled"
"January","2020","Mexico",1000402,"Wheat, Unmilled"
"January","2020","Colombia",549295,"Wheat, Unmilled"
"January","2020","Japan",397990,"Wheat, Unmilled"
"January","2020","Canada",121733,"Wheat, Unmilled"
"January","2020","Costa Rica",110554,"Wheat, Unmilled"
"January","2020","Guatemala",89002,"Wheat, Unmilled"
"January","2020","Honduras",33974,"Wheat, Unmilled"
"January","2020","Taiwan",55279,"Wheat, Unmilled"
"January","2020","Panama",8440,"Wheat, Unmilled"
"January","2020","Saudi Arabia",0,"Wheat, Unmilled"
"January","2020","World total",2494779,"Wheat, Unmilled"
"February","2020","Mexico",1224456,"Wheat, Unmilled"
"February","2020","Japan",1075232,"Wheat, Unmilled"
"February","2020","Colombia",545083,"Wheat, Unmilled"
"February","2020","Canada",120645,"Wheat, Unmilled"
"February","2020","Guatemala",118667,"Wheat, Unmilled"
"February","2020","Honduras",83677,"Wheat, Unmilled"
"February","2020","Costa Rica",13630,"Wheat, Unmilled"
"February","2020","Saudi Arabia",127389,"Wheat, Unmilled"
"February","2020","Taiwan",44078,"Wheat, Unmilled"
"February","2020","Panama",64571,"Wheat, Unmilled"
"February","2020","World total",3916049,"Wheat, Unmilled"
"March","2020","Mexico",1190076,"Wheat, Unmilled"
"March","2020","Japan",1323302,"Wheat, Unmilled"
"March","2020","Colombia",436742,"Wheat, Unmilled"
"March","2020","Canada",170428,"Wheat, Unmilled"
"March","2020","South Korea",477773,"Wheat, Unmilled"
"March","2020","Guatemala",121383,"Wheat, Unmilled"
"March","2020","Honduras",109990,"Wheat, Unmilled"
"March","2020","Costa Rica",99794,"Wheat, Unmilled"
"March","2020","Taiwan",119528,"Wheat, Unmilled"
"March","2020","Saudi Arabia",66320,"Wheat, Unmilled"
"March","2020","World total",4615561,"Wheat, Unmilled"
"April","2020","Mexico",1452540,"Wheat, Unmilled"
"April","2020","Japan",1154626,"Wheat, Unmilled"
"April","2020","Colombia",629193,"Wheat, Unmilled"
"April","2020","South Korea",518536,"Wheat, Unmilled"
"April","2020","Canada",126964,"Wheat, Unmilled"
"April","2020","Guatemala",124990,"Wheat, Unmilled"
"April","2020","Honduras",58294,"Wheat, Unmilled"
"April","2020","Costa Rica",76392,"Wheat, Unmilled"
"April","2020","Saudi Arabia",151570,"Wheat, Unmilled"
"April","2020","Taiwan",124045,"Wheat, Unmilled"
"April","2020","World total",5057441,"Wheat, Unmilled"
"May","2020","Mexico",1317888,"Wheat, Unmilled"
"May","2020","Japan",1447387,"Wheat, Unmilled"
"May","2020","Colombia",492489,"Wheat, Unmilled"
"May","2020","South Korea",679174,"Wheat, Unmilled"
"May","2020","Canada",157236,"Wheat, Unmilled"
"May","2020","Guatemala",108365,"Wheat, Unmilled"
"May","2020","Costa Rica",158273,"Wheat, Unmilled"
"May","2020","Saudi Arabia",89125,"Wheat, Unmilled"
"May","2020","Honduras",71883,"Wheat, Unmilled"
"May","2020","Taiwan",93558,"Wheat, Unmilled"
"May","2020","World total",5700085,"Wheat, Unmilled"
"June","2020","Mexico",1384683,"Wheat, Unmilled"
"June","2020","Japan",1093785,"Wheat, Unmilled"
"June","2020","Colombia",391768,"Wheat, Unmilled"
"June","2020","South Korea",469282,"Wheat, Unmilled"
"June","2020","Canada",144669,"Wheat, Unmilled"
"June","2020","Guatemala",75979,"Wheat, Unmilled"
"June","2020","Costa Rica",60112,"Wheat, Unmilled"
"June","2020","Saudi Arabia",126654,"Wheat, Unmilled"
"June","2020","Taiwan",97710,"Wheat, Unmilled"
"June","2020","Honduras",23031,"Wheat, Unmilled"
"June","2020","World total",5035249,"Wheat, Unmilled"
"July","2020","Mexico",1213376,"Wheat, Unmilled"
"July","2020","Japan",1092563,"Wheat, Unmilled"
"July","2020","Colombia",382260,"Wheat, Unmilled"
"July","2020","South Korea",199631,"Wheat, Unmilled"
"July","2020","Canada",163022,"Wheat, Unmilled"
"July","2020","Guatemala",168845,"Wheat, Unmilled"
"July","2020","China",452712,"Wheat, Unmilled"
"July","2020","Saudi Arabia",71500,"Wheat, Unmilled"
"July","2020","Costa Rica",33389,"Wheat, Unmilled"
"July","2020","Taiwan",33162,"Wheat, Unmilled"
"July","2020","World total",4343678,"Wheat, Unmilled"
"August","2020","Mexico",1260176,"Wheat, Unmilled"
"August","2020","Japan",811768,"Wheat, Unmilled"
"August","2020","Colombia",418749,"Wheat, Unmilled"
"August","2020","South Korea",126571,"Wheat, Unmilled"
"August","2020","China",1177484,"Wheat, Unmilled"
"August","2020","Canada",186795,"Wheat, Unmilled"
"August","2020","Guatemala",104777,"Wheat, Unmilled"
"August","2020","Saudi Arabia",71496,"Wheat, Unmilled"
"August","2020","Costa Rica",34965,"Wheat, Unmilled"
"August","2020","Taiwan",50555,"Wheat, Unmilled"
"August","2020","World total",4539135,"Wheat, Unmilled"
"September","2020","Mexico",1036731,"Wheat, Unmilled"
"September","2020","Japan",464121,"Wheat, Unmilled"
"September","2020","Colombia",425332,"Wheat, Unmilled"
"September","2020","China",983732,"Wheat, Unmilled"
"September","2020","South Korea",273201,"Wheat, Unmilled"
"September","2020","Canada",196312,"Wheat, Unmilled"
"September","2020","Guatemala",68610,"Wheat, Unmilled"
"September","2020","Costa Rica",76095,"Wheat, Unmilled"
"September","2020","Saudi Arabia",0,"Wheat, Unmilled"
"September","2020","Taiwan",34313,"Wheat, Unmilled"
"September","2020","World total",3803046,"Wheat, Unmilled"
"October","2020","Mexico",1119944,"Wheat, Unmilled"
"October","2020","Japan",341809,"Wheat, Unmilled"
"October","2020","Colombia",312847,"Wheat, Unmilled"
"October","2020","China",1101488,"Wheat, Unmilled"
"October","2020","South Korea",94174,"Wheat, Unmilled"
"October","2020","Canada",135026,"Wheat, Unmilled"
"October","2020","Guatemala",69288,"Wheat, Unmilled"
"October","2020","Saudi Arabia",70200,"Wheat, Unmilled"
"October","2020","Taiwan",52960,"Wheat, Unmilled"
"October","2020","Costa Rica",41509,"Wheat, Unmilled"
"October","2020","World total",3683901,"Wheat, Unmilled"
"November","2020","Mexico",1167644,"Wheat, Unmilled"
"November","2020","Japan",437649,"Wheat, Unmilled"
"November","2020","China",1284311,"Wheat, Unmilled"
"November","2020","Colombia",189214,"Wheat, Unmilled"
"November","2020","South Korea",4400,"Wheat, Unmilled"
"November","2020","Canada",99444,"Wheat, Unmilled"
"November","2020","Guatemala",133006,"Wheat, Unmilled"
"November","2020","Costa Rica",91398,"Wheat, Unmilled"
"November","2020","Taiwan",75702,"Wheat, Unmilled"
"November","2020","Saudi Arabia",300,"Wheat, Unmilled"
"November","2020","World total",3822421,"Wheat, Unmilled"
"December","2020","Mexico",1205088,"Wheat, Unmilled"
"December","2020","Japan",687183,"Wheat, Unmilled"
"December","2020","China",1528825,"Wheat, Unmilled"
"December","2020","Colombia",302029,"Wheat, Unmilled"
"December","2020","South Korea",4069,"Wheat, Unmilled"
"December","2020","Canada",107039,"Wheat, Unmilled"
"December","2020","Guatemala",78245,"Wheat, Unmilled"
"December","2020","Taiwan",127096,"Wheat, Unmilled"
"December","2020","Costa Rica",73077,"Wheat, Unmilled"
"December","2020","Saudi Arabia",71497,"Wheat, Unmilled"
"December","2020","World total",4617542,"Wheat, Unmilled"
"October","2019","Mexico",1130530,"Corn"
"October","2019","Japan",323292,"Corn"
"October","2019","Colombia",289865,"Corn"
"October","2019","Canada",111385,"Corn"
"October","2019","Korea, South",3258,"Corn"
"October","2019","Taiwan",39989,"Corn"
"October","2019","Peru",0,"Corn"
"October","2019","Guatemala",15306,"Corn"
"October","2019","Costa Rica",96271,"Corn"
"October","2019","Honduras",107987,"Corn"
"October","2019","World Total",2303944,"Corn"
"November","2019","Mexico",198658,"Corn"
"November","2019","Philippines",277861,"Corn"
"November","2019","Japan",173108,"Corn"
"November","2019","Nigeria",52434,"Corn"
"November","2019","Indonesia",58404,"Corn"
"November","2019","Taiwan",56250,"Corn"
"November","2019","Korea, South",55004,"Corn"
"November","2019","Egypt",0,"Corn"
"November","2019","Yemen(*)",60000,"Corn"
"November","2019","European Union-28",182465,"Corn"
"November","2019","World total",1810197,"Corn"
"December","2019","Mexico",374963,"Corn"
"December","2019","Philippines",197989,"Corn"
"December","2019","Japan",172459,"Corn"
"December","2019","Nigeria",170942,"Corn"
"December","2019","South Korea",170512,"Corn"
"December","2019","Taiwan",150366,"Corn"
"December","2019","Indonesia",91909,"Corn"
"December","2019","European Union-28",127848,"Corn"
"December","2019","Egypt",0,"Corn"
"December","2019","Yemen(*)",0,"Corn"
"December","2019","World total",2147611,"Corn"
"January","2020","Mexico",235631,"Corn"
"January","2020","Philippines",347095,"Corn"
"January","2020","Japan",256252,"Corn"
"January","2020","South Korea",130467,"Corn"
"January","2020","Taiwan",64350,"Corn"
"January","2020","Nigeria",100584,"Corn"
"January","2020","EU27+UK",0,"Corn"
"January","2020","Indonesia",146042,"Corn"
"January","2020","Bangladesh",56926,"Corn"
"January","2020","Thailand",52680,"Corn"
"January","2020","World total",1872033,"Corn"
"February","2020","Mexico",354994,"Corn"
"February","2020","Philippines",271826,"Corn"
"February","2020","Japan",202892,"Corn"
"February","2020","Taiwan",89150,"Corn"
"February","2020","South Korea",61294,"Corn"
"February","2020","Nigeria",107508,"Corn"
"February","2020","EU27+UK",82966,"Corn"
"February","2020","Indonesia",112435,"Corn"
"February","2020","Bangladesh",176439,"Corn"
"February","2020","Thailand",170977,"Corn"
"February","2020","World total",2184000,"Corn"
"March","2020","Mexico",256659,"Corn"
"March","2020","Japan",274532,"Corn"
"March","2020","Philippines",110975,"Corn"
"March","2020","Indonesia",222478,"Corn"
"March","2020","Taiwan",126883,"Corn"
"March","2020","South Korea",108966,"Corn"
"March","2020","Nigeria",124500,"Corn"
"March","2020","EU27+UK  2/",31981,"Corn"
"March","2020","Bangladesh",27500,"Corn"
"March","2020","Colombia",102879,"Corn"
"March","2020","World total",1825786,"Corn"
"April","2020","Mexico",350884,"Corn"
"April","2020","Philippines",369251,"Corn"
"April","2020","Japan",159469,"Corn"
"April","2020","South Korea",172563,"Corn"
"April","2020","Nigeria",126095,"Corn"
"April","2020","Indonesia",76233,"Corn"
"April","2020","Taiwan",80593,"Corn"
"April","2020","EU27+UK",167027,"Corn"
"April","2020","Thailand",118766,"Corn"
"April","2020","Colombia",67327,"Corn"
"April","2020","World total",2360326,"Corn"
"May","2020","Mexico",205396,"Corn"
"May","2020","Philippines",267130,"Corn"
"May","2020","Japan",226784,"Corn"
"May","2020","South Korea",117100,"Corn"
"May","2020","Nigeria",81723,"Corn"
"May","2020","Taiwan",101731,"Corn"
"May","2020","Indonesia",34168,"Corn"
"May","2020","EU27+UK",72906,"Corn"
"May","2020","Thailand",75354,"Corn"
"May","2020","China",355414,"Corn"
"May","2020","World total",2347310,"Corn"
"June","2020","Mexico",256101,"Corn"
"June","2020","Philippines",335848,"Corn"
"June","2020","Japan",221920,"Corn"
"June","2020","Nigeria",172129,"Corn"
"June","2020","South Korea",90250,"Corn"
"June","2020","Indonesia",135370,"Corn"
"June","2020","EU27+UK",118300,"Corn"
"June","2020","Taiwan",18485,"Corn"
"June","2020","China",211756,"Corn"
"June","2020","Thailand",1197,"Corn"
"June","2020","World total",2282799,"Corn"
"July","2020","Mexico",299516,"Corn"
"July","2020","Philippines",242618,"Corn"
"July","2020","Japan",194317,"Corn"
"July","2020","South Korea",181389,"Corn"
"July","2020","Nigeria",55107,"Corn"
"July","2020","Taiwan",198411,"Corn"
"July","2020","Indonesia",116443,"Corn"
"July","2020","EU27+UK  2/",112239,"Corn"
"July","2020","China",124840,"Corn"
"July","2020","Yemen",85000,"Corn"
"July","2020","World total",2363320,"Corn"
"August","2020","Mexico",252517,"Corn"
"August","2020","Philippines",368760,"Corn"
"August","2020","Japan",261613,"Corn"
"August","2020","Nigeria",200018,"Corn"
"August","2020","South Korea",64965,"Corn"
"August","2020","Taiwan",112578,"Corn"
"August","2020","China",273857,"Corn"
"August","2020","Indonesia",83763,"Corn"
"August","2020","EU27+UK",54657,"Corn"
"August","2020","Yemen",212681,"Corn"
"August","2020","World total",2555038,"Corn"
"September","2020","Philippines",363754,"Corn"
"September","2020","Mexico",274922,"Corn"
"September","2020","Japan",188282,"Corn"
"September","2020","China",376663,"Corn"
"September","2020","South Korea",144436,"Corn"
"September","2020","Nigeria",87170,"Corn"
"September","2020","Taiwan",98419,"Corn"
"September","2020","Indonesia",72927,"Corn"
"September","2020","EU27+UK",154040,"Corn"
"September","2020","Yemen",44000,"Corn"
"September","2020","World total",2684792,"Corn"
"October","2020","Philippines",71000,"Corn"
"October","2020","Mexico",154113,"Corn"
"October","2020","Japan",274967,"Corn"
"October","2020","China",292379,"Corn"
"October","2020","Nigeria",155196,"Corn"
"October","2020","South Korea",80636,"Corn"
"October","2020","Indonesia",62027,"Corn"
"October","2020","Taiwan",83493,"Corn"
"October","2020","EU27+UK",8944,"Corn"
"October","2020","Brazil",60000,"Corn"
"October","2020","World total",1740694,"Corn"
"November","2020","Philippines",344156,"Corn"
"November","2020","Mexico",269819,"Corn"
"November","2020","Japan",173879,"Corn"
"November","2020","China",234694,"Corn"
"November","2020","Nigeria",81999,"Corn"
"November","2020","South Korea",89408,"Corn"
"November","2020","Indonesia",63672,"Corn"
"November","2020","Taiwan",150125,"Corn"
"November","2020","EU27+UK",66684,"Corn"
"November","2020","Brazil",0,"Corn"
"November","2020","World total",1892510,"Corn"
"December","2020","Philippines",276513,"Corn"
"December","2020","Mexico",237390,"Corn"
"December","2020","Japan",194113,"Corn"
"December","2020","China",382639,"Corn"
"December","2020","South Korea",205636,"Corn"
"December","2020","Nigeria",47455,"Corn"
"December","2020","Indonesia",75349,"Corn"
"December","2020","Taiwan",47719,"Corn"
"December","2020","EU27+UK",68900,"Corn"
"December","2020","Yemen",124000,"Corn"
"December","2020","World total",1945896,"Corn"
"October","2019","Vietnam",40687.2,"Cotton, Ex Linters"
"October","2019","Turkey",5190.8,"Cotton, Ex Linters"
"October","2019","India",6895.1,"Cotton, Ex Linters"
"October","2019","China",13602.6,"Cotton, Ex Linters"
"October","2019","Pakistan",15771.3,"Cotton, Ex Linters"
"October","2019","Indonesia",15336.6,"Cotton, Ex Linters"
"October","2019","Bangladesh",8544.4,"Cotton, Ex Linters"
"October","2019","Mexico",12750.3,"Cotton, Ex Linters"
"October","2019","Thailand",5118.9,"Cotton, Ex Linters"
"October","2019","Korea, South",8570.8,"Cotton, Ex Linters"
"October","2019","World Total",159288.2,"Cotton, Ex Linters"
"November","2019","Vietnam",36582.3,"Cotton, Ex Linters"
"November","2019","Turkey",6254.9,"Cotton, Ex Linters"
"November","2019","China",24742.4,"Cotton, Ex Linters"
"November","2019","India",6571.8,"Cotton, Ex Linters"
"November","2019","Pakistan",31038.5,"Cotton, Ex Linters"
"November","2019","Indonesia",12231.5,"Cotton, Ex Linters"
"November","2019","Bangladesh",16084.3,"Cotton, Ex Linters"
"November","2019","Mexico",14433.8,"Cotton, Ex Linters"
"November","2019","Thailand",7057.3,"Cotton, Ex Linters"
"November","2019","South Korea",4960.7,"Cotton, Ex Linters"
"November","2019","World total",183185.3,"Cotton, Ex Linters"
"December","2019","Vietnam",66924,"Cotton, Ex Linters"
"December","2019","Turkey",20969.9,"Cotton, Ex Linters"
"December","2019","China",43454.9,"Cotton, Ex Linters"
"December","2019","Pakistan",51223.7,"Cotton, Ex Linters"
"December","2019","India",13322.6,"Cotton, Ex Linters"
"December","2019","Indonesia",17210.1,"Cotton, Ex Linters"
"December","2019","Bangladesh",19369.1,"Cotton, Ex Linters"
"December","2019","Mexico",11731.9,"Cotton, Ex Linters"
"December","2019","Thailand",7640.8,"Cotton, Ex Linters"
"December","2019","South Korea",6948.5,"Cotton, Ex Linters"
"December","2019","World total",287389.2,"Cotton, Ex Linters"
"January","2020","Vietnam",97176.8,"Cotton, Ex Linters"
"January","2020","Pakistan",72495.6,"Cotton, Ex Linters"
"January","2020","China",47673.6,"Cotton, Ex Linters"
"January","2020","Turkey",41187,"Cotton, Ex Linters"
"January","2020","Bangladesh",26887.9,"Cotton, Ex Linters"
"January","2020","Indonesia",16747.7,"Cotton, Ex Linters"
"January","2020","Mexico",12751.2,"Cotton, Ex Linters"
"January","2020","India",7064,"Cotton, Ex Linters"
"January","2020","South Korea",7963.7,"Cotton, Ex Linters"
"January","2020","Thailand",8248.9,"Cotton, Ex Linters"
"January","2020","World total",369904.3,"Cotton, Ex Linters"
"February","2020","Vietnam",92111.8,"Cotton, Ex Linters"
"February","2020","Pakistan",97113.5,"Cotton, Ex Linters"
"February","2020","China",56278.6,"Cotton, Ex Linters"
"February","2020","Turkey",50235.8,"Cotton, Ex Linters"
"February","2020","Bangladesh",19102.8,"Cotton, Ex Linters"
"February","2020","Indonesia",28213.7,"Cotton, Ex Linters"
"February","2020","Mexico",10222.9,"Cotton, Ex Linters"
"February","2020","India",11524.1,"Cotton, Ex Linters"
"February","2020","South Korea",13224.4,"Cotton, Ex Linters"
"February","2020","Thailand",9845.6,"Cotton, Ex Linters"
"February","2020","World total",428651.8,"Cotton, Ex Linters"
"March","2020","Vietnam",93086.4,"Cotton, Ex Linters"
"March","2020","Pakistan",82297.4,"Cotton, Ex Linters"
"March","2020","China",58488.8,"Cotton, Ex Linters"
"March","2020","Turkey",66569.9,"Cotton, Ex Linters"
"March","2020","Indonesia",28456.4,"Cotton, Ex Linters"
"March","2020","Bangladesh",26180.7,"Cotton, Ex Linters"
"March","2020","Mexico",9364.9,"Cotton, Ex Linters"
"March","2020","India",13445.7,"Cotton, Ex Linters"
"March","2020","South Korea",10892.4,"Cotton, Ex Linters"
"March","2020","Thailand",11544.3,"Cotton, Ex Linters"
"March","2020","World total",436214.5,"Cotton, Ex Linters"
"April","2020","Vietnam",74409.9,"Cotton, Ex Linters"
"April","2020","Pakistan",36506.5,"Cotton, Ex Linters"
"April","2020","China",53863.4,"Cotton, Ex Linters"
"April","2020","Turkey",34337.6,"Cotton, Ex Linters"
"April","2020","Bangladesh",25480.7,"Cotton, Ex Linters"
"April","2020","Indonesia",6338.3,"Cotton, Ex Linters"
"April","2020","Mexico",1767,"Cotton, Ex Linters"
"April","2020","India",4133.4,"Cotton, Ex Linters"
"April","2020","South Korea",6272.5,"Cotton, Ex Linters"
"April","2020","Thailand",8182.7,"Cotton, Ex Linters"
"April","2020","World total",272979.8,"Cotton, Ex Linters"
