"Month","Year","Item","Export Volume"
"August","2020","Fruits, prepared or preserved",133.5836
"August","2020","Vegetables, fresh or frozen",703.8605
"August","2020","Vegetable oils",498.8124
"August","2020","Sugar & related products",406.2662
"August","2020","Cocoa & products",99.5784
"August","2020","Coffee & products",114.7864
"September","2020","Wine 4/",97.9354
"September","2020","Malt beverages 4/",393.9816
"September","2020","Cattle & calves",146.426
"September","2020","Beef & veal",101.2016
"September","2020","Dairy products",27.315853
"September","2020","Processed grains, ex. feed",296.3193
"September","2020","Fruits, fresh or frozen",1004.0437
"September","2020","Fruits, prepared or preserved",131.4119
"September","2020","Vegetables, fresh or frozen",756.8798
"September","2020","Vegetable oils",420.2361
"September","2020","Sugar & related products",459.8878
"September","2020","Cocoa & products",111.1475
"September","2020","Coffee & products",114.8951
"October","2020","Wine 4/",121.5583
"October","2020","Malt beverages 4/",413.3912
"October","2020","Cattle & calves",181.89
"October","2020","Beef & veal",84.3243
"October","2020","Dairy products",24.322603
"October","2020","Processed grains, ex. feed",337.7755
"October","2020","Fruits, fresh or frozen",1068.6866
"October","2020","Fruits, prepared or preserved",137.1708
"October","2020","Vegetables, fresh or frozen",871.5969
"October","2020","Vegetable oils",414.2832
"October","2020","Sugar & related products",491.9922
"October","2020","Cocoa & products",104.0036
"October","2020","Coffee & products",124.3492
"November","2020","Wine 4/",121.2238
"November","2020","Malt beverages 4/",417.7333
"November","2020","Cattle & calves",186.471
"November","2020","Beef & veal",78.9429
"November","2020","Dairy products",26.033545
"November","2020","Processed grains, ex. feed",284.9688
"November","2020","Fruits, fresh or frozen",928.1968
"November","2020","Fruits, prepared or preserved",126.7118
"November","2020","Vegetables, fresh or frozen",935.2495
"November","2020","Vegetable oils",441.1361
"November","2020","Sugar & related products",349.5503
"November","2020","Cocoa & products",95.6995
"November","2020","Coffee & products",119.4484
